PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT_INCHES,WEIGHT_LBS,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT
Trey Jemison,2TM,C,82,270,2.5,2.8,0.4,0.2,0.4,0.554,0.0,0.394
Anthony Gill,WAS,PF,79,230,2.5,1.3,0.3,0.2,0.0,0.489,0.323,0.66
Dillon Jones,OKC,SF,77,235,2.5,2.2,1.1,0.3,0.1,0.383,0.254,0.607
Pat Spencer,GSW,PG,74,205,2.5,1.2,1.2,0.4,0.1,0.406,0.227,0.733
Johnny Davis,WAS,SG,74,170,2.4,1.1,0.3,0.4,0.2,0.41,0.241,0.6
Christian Koloko,LAL,C,83,225,2.4,2.5,0.4,0.2,0.4,0.606,0.0,0.714
John Konchar,MEM,SG,77,210,2.4,3.3,0.9,0.7,0.3,0.451,0.371,0.875
MarJon Beauchamp,3TM,SF,79,199,2.3,1.3,0.3,0.1,0.0,0.415,0.345,0.75
Bronny James,LAL,SG,74,210,2.3,0.7,0.8,0.3,0.1,0.313,0.281,0.786
Mason Jones,SAC,SG,76,200,2.3,0.9,1.1,0.0,0.1,0.5,0.125,0.8
Miles Norris,BOS,PF,79,220,2.3,3.0,0.0,0.7,0.3,0.222,0.286,0.5
Patrick Baldwin Jr.,2TM,SF,84,220,2.2,1.0,0.1,0.1,0.1,0.543,0.565,0.5
Drew Peterson,BOS,PF,80,205,2.2,1.6,0.5,0.2,0.1,0.415,0.394,0.778
TyTy Washington Jr.,PHO,PG,75,195,2.2,0.8,1.0,0.2,0.0,0.311,0.19,0.5
Jordan McLaughlin,2TM,PG,71,185,2.1,0.7,1.1,0.3,0.0,0.431,0.413,0.773
JD Davison,BOS,PG,73,195,2.1,0.8,0.8,0.3,0.1,0.353,0.222,0.714
Chris Duarte,CHI,SG,77,190,2.1,1.2,0.5,0.0,0.0,0.462,0.4,0.75
Enrique Freeman,IND,PF,81,220,2.1,1.4,0.4,0.1,0.1,0.432,0.1,0.684
Johnny Furphy,IND,SG,80,200,2.1,1.4,0.4,0.4,0.2,0.38,0.3,0.818
Dwight Powell,DAL,C,82,240,2.1,2.1,1.0,0.3,0.4,0.689,0.4,0.651
Josh Christopher,MIA,SG,76,215,2.0,0.6,0.6,0.4,0.2,0.355,0.182,0.667
Tyler Kolek,NYK,PG,74,195,2.0,0.7,1.7,0.3,0.1,0.329,0.298,0.765
Adama Sanogo,CHI,C,81,245,2.0,1.5,0.3,0.0,0.0,0.571,0.0,0.0
Kobe Brown,LAC,PF,79,250,1.9,1.6,0.6,0.2,0.1,0.458,0.231,0.714
Ariel Hukporti,NYK,C,84,246,1.9,2.0,0.4,0.0,0.6,0.677,0.0,0.462
Bobi Klintman,DET,SF,81,225,1.9,0.9,0.9,0.3,0.1,0.6,0.4,0.5
